include_covariates,include_itself,include_motif_information,k_motifs,no_points_after_motif,do_normalization,include_similarity,EXCL_ZONE_DENOM,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,1,1,9,False,True,4.0,5.1550655,0.04763579,2.7756712,0.06771963,42.54070019721985,197.0523693561554
True,True,1,1,9,False,True,1.0,5.15267,0.047674168,2.7779076,0.06773615,44.22861409187317,212.5966818332672
True,True,1,1,9,False,True,0.1,5.1560307,0.047687035,2.7786572,0.06778944,45.394659996032715,193.87772178649902
True,True,1,1,9,False,True,0.01,5.153872,0.04761917,2.774703,0.06769411,40.19025111198425,187.67605590820312
True,True,1,1,9,False,True,0.005,5.1609163,0.047689512,2.7788017,0.0678537,38.36481308937073,190.2351109981537
True,True,1,1,9,False,True,0.003,5.164783,0.04771743,2.7804284,0.067836806,37.440065145492554,187.86574387550354
True,True,1,1,9,False,True,0.0025,5.1645885,0.047733117,2.7813423,0.06783942,35.754703998565674,185.9455897808075
True,True,1,1,9,False,True,0.002,5.167528,0.04773715,2.7815776,0.06782675,34.338491916656494,185.89173102378845
True,True,1,1,9,False,True,0.001,5.178072,0.04788202,2.7900188,0.06797872,29.65540099143982,195.74699425697327
True,True,1,1,9,False,True,0.0005,5.1951356,0.048025742,2.7983935,0.06847436,26.670971870422363,176.26928687095642
False,True,1,1,9,False,True,4.0,5.557847,0.050757136,2.957548,0.07303681,46.01506280899048,187.1126799583435
False,True,1,1,9,False,True,1.0,5.5572925,0.05077258,2.958448,0.073054545,43.494179010391235,178.6000039577484
False,True,1,1,9,False,True,0.1,5.5574956,0.050717093,2.9552147,0.072958395,43.269684076309204,178.63789892196655
False,True,1,1,9,False,True,0.01,5.557639,0.05069181,2.9537413,0.07277,41.94513392448425,176.36140203475952
False,True,1,1,9,False,True,0.005,5.569976,0.050791655,2.9595592,0.072831586,40.378610134124756,177.75546002388
False,True,1,1,9,False,True,0.003,5.572659,0.05083216,2.9619195,0.07285751,37.019320249557495,163.01283931732178
False,True,1,1,9,False,True,0.0025,5.573256,0.050820682,2.9612505,0.07287315,35.17054986953735,160.92064809799194
False,True,1,1,9,False,True,0.002,5.5793943,0.050844856,2.9626591,0.072905995,33.926584005355835,158.86589694023132
False,True,1,1,9,False,True,0.001,5.590082,0.05104647,2.9744067,0.07283139,27.53257989883423,151.18509483337402
False,True,1,1,9,False,True,0.0005,5.610529,0.051220443,2.984544,0.07419379,25.50014901161194,135.3396396636963
