include_covariates,include_itself,include_motif_information,k_motifs,motif_length,no_points_after_motif,do_normalization,include_similarity,EXCL_ZONE_DENOM,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,3,1,24,24,False,True,4,0.00887557,0.062022436,0.0033491985,0.07148416,14.279594898223877,664.097384929657
True,True,3,1,24,24,False,False,4,0.017756782,0.10340942,0.0055840868,0.101618834,14.230898141860962,638.7690732479095
True,True,5,1,24,24,False,True,4,0.009284572,0.060016297,0.0032408673,0.06778418,15.328244924545288,879.708615064621
True,True,5,1,24,24,False,False,4,0.018325103,0.096219145,0.0051958133,0.0936965,15.42588996887207,851.0735878944397
False,True,3,1,24,24,False,True,4,0.0071931453,0.035931375,0.0019402867,0.03856223,16.352722883224487,609.1216547489166
False,True,3,1,24,24,False,False,4,0.015479251,0.073966995,0.0039942022,0.07146225,15.883042097091675,566.3209018707275
False,True,5,1,24,24,False,True,4,0.008341543,0.035542954,0.001919312,0.03964128,20.193645000457764,819.1496241092682
False,True,5,1,24,24,False,False,4,0.015081952,0.06311098,0.0034079796,0.05825334,19.33831286430359,774.6238217353821
