include_covariates,include_itself,include_motif_information,k_motifs,motif_length,no_points_after_motif,do_normalization,include_similarity,EXCL_ZONE_DENOM,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,1,1,24,1,True,True,4,0.015334084,0.11499544,0.0062097297,0.12800166,18.217330932617188,680.3832046985626
True,True,1,1,24,1,True,False,4,0.014316841,0.11023485,0.0059526586,0.1260638,17.630791902542114,639.7190048694611
True,True,1,1,24,1,False,True,4,0.015324744,0.11605836,0.0062671266,0.13495982,15.811710834503174,609.1709470748901
True,True,1,1,24,1,False,False,4,0.014685251,0.11389315,0.006150206,0.13050385,15.264160871505737,597.9383389949799
True,True,1,1,24,2,True,True,4,0.01517349,0.11490418,0.0062048016,0.12908593,15.598110914230347,523.4660181999207
True,True,1,1,24,2,True,False,4,0.014356757,0.10964586,0.005920853,0.12615958,14.974287986755371,562.0343940258026
True,True,1,1,24,2,False,True,4,0.015010215,0.1171373,0.0063253893,0.13075142,14.685281038284302,545.2650969028473
True,True,1,1,24,2,False,False,4,0.015028084,0.114967704,0.0062082317,0.13207804,14.762778282165527,544.7951922416687
True,True,1,1,24,6,True,True,4,0.017018765,0.11999435,0.0064796694,0.12327587,15.277260780334473,569.411945104599
True,True,1,1,24,6,True,False,4,0.016822333,0.11833645,0.006390143,0.12674361,14.691461086273193,562.1789839267731
True,True,1,1,24,6,False,True,4,0.01577583,0.113463484,0.006127004,0.11221252,14.666067838668823,569.5317199230194
True,True,1,1,24,6,False,False,4,0.0155410655,0.11420912,0.0061672684,0.12261696,14.968631982803345,559.1397218704224
True,True,1,1,24,12,True,True,4,0.018900521,0.12078825,0.00652254,0.1219441,15.369167804718018,647.466598033905
True,True,1,1,24,12,True,False,4,0.019663934,0.12051614,0.0065078456,0.12550357,15.180421829223633,624.2987337112427
True,True,1,1,24,12,False,True,4,0.014825776,0.099854514,0.0053921225,0.09855162,15.136981010437012,644.0197010040283
True,True,1,1,24,12,False,False,4,0.017072305,0.112538025,0.0060770297,0.1150789,14.91629695892334,626.1504280567169
True,True,1,1,24,24,True,True,4,0.016833853,0.09971788,0.0053847446,0.11119038,16.15636134147644,734.0612530708313
True,True,1,1,24,24,True,False,4,0.020495832,0.117041305,0.0063202055,0.11973804,15.736763000488281,707.9387950897217
True,True,1,1,24,24,False,True,4,0.0097160535,0.06372431,0.003441099,0.07131817,15.772647142410278,759.217826128006
True,True,1,1,24,24,False,False,4,0.018391887,0.108380705,0.0058525354,0.1110974,15.408578872680664,720.517560005188
False,True,1,1,24,1,True,True,4,0.013733276,0.11560528,0.006242661,0.13782214,15.063776969909668,480.28614687919617
False,True,1,1,24,1,True,False,4,0.012102237,0.10834437,0.005850573,0.13155046,14.992042064666748,449.7205538749695
False,True,1,1,24,1,False,True,4,0.014477341,0.11855898,0.00640216,0.14258221,14.512509107589722,492.69336104393005
False,True,1,1,24,1,False,False,4,0.013064294,0.11345222,0.006126396,0.1355681,14.418689966201782,473.4963848590851
False,True,1,1,24,2,True,True,4,0.013713915,0.11544184,0.006233835,0.13740508,14.952856063842773,518.3022379875183
False,True,1,1,24,2,True,False,4,0.012466286,0.108195715,0.005842546,0.13179703,15.126219034194946,512.0287339687347
False,True,1,1,24,2,False,True,4,0.014428456,0.11826526,0.0063862987,0.13376167,15.10886287689209,525.3972759246826
False,True,1,1,24,2,False,False,4,0.013687226,0.11666761,0.0063000266,0.13632943,14.773048639297485,481.62946462631226
False,True,1,1,24,6,True,True,4,0.01636326,0.11784688,0.006363706,0.125423,14.926932096481323,568.8363862037659
False,True,1,1,24,6,True,False,4,0.015980257,0.11636965,0.0062839366,0.1274432,14.787059783935547,534.593761920929
False,True,1,1,24,6,False,True,4,0.01581004,0.10943589,0.005909515,0.102003664,14.953802108764648,559.1972281932831
False,True,1,1,24,6,False,False,4,0.014359031,0.107399516,0.0057995515,0.11128049,15.197721004486084,546.417603969574
False,True,1,1,24,12,True,True,4,0.018410005,0.11431612,0.006173047,0.11540832,16.25171208381653,585.5912590026855
False,True,1,1,24,12,True,False,4,0.019437535,0.11790294,0.006366734,0.122751676,15.672566175460815,561.675546169281
False,True,1,1,24,12,False,True,4,0.013504046,0.08496163,0.00458791,0.0797015,15.442714929580688,571.1014029979706
False,True,1,1,24,12,False,False,4,0.015520322,0.09825446,0.00530572,0.09772268,15.137823104858398,552.5175061225891
False,True,1,1,24,24,True,True,4,0.01658662,0.08969937,0.0048437472,0.09739279,17.58638095855713,667.4631280899048
False,True,1,1,24,24,True,False,4,0.019951522,0.107020624,0.0057790913,0.111806706,16.884114027023315,684.6828460693359
False,True,1,1,24,24,False,True,4,0.007958382,0.037297077,0.0020140344,0.04021006,17.68646001815796,663.2558772563934
False,True,1,1,24,24,False,False,4,0.01626781,0.0797251,0.0043051387,0.07768987,16.599111318588257,671.3861842155457
