include_covariates,include_itself,include_motif_information,k_motifs,motif_length,no_points_after_motif,do_normalization,include_similarity,EXCL_ZONE_DENOM,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,2,1,24,1,True,True,4,139.857,0.094442256,52.898056,inf,50.07085108757019,365.09329891204834
True,True,2,1,24,1,True,False,4,139.50409,0.09398562,52.64229,inf,51.784740924835205,354.2718379497528
True,True,2,1,24,1,False,True,4,135.59335,0.09354927,52.397884,inf,51.20316696166992,363.55297780036926
True,True,2,1,24,1,False,False,4,137.38298,0.09397053,52.63384,inf,50.0407497882843,359.47632479667664
True,True,2,1,24,2,True,True,4,140.792,0.095139384,53.288525,inf,51.86702299118042,355.48006796836853
True,True,2,1,24,2,True,False,4,135.74632,0.09336426,52.294262,inf,51.113980293273926,357.00690627098083
True,True,2,1,24,2,False,True,4,137.55305,0.09358994,52.420662,inf,52.12020182609558,354.1896767616272
True,True,2,1,24,2,False,False,4,135.25931,0.09342525,52.328423,inf,48.23977184295654,365.1243939399719
True,True,2,1,24,6,True,True,4,138.31413,0.09461318,52.993793,inf,53.92033910751343,411.29320788383484
True,True,2,1,24,6,True,False,4,141.78912,0.09504744,53.237022,inf,55.273860931396484,409.4702091217041
True,True,2,1,24,6,False,True,4,140.1501,0.0944658,52.91124,inf,54.47773599624634,404.89368414878845
True,True,2,1,24,6,False,False,4,136.86029,0.09376572,52.519123,inf,52.68640995025635,383.98735523223877
True,True,2,1,24,12,True,True,4,137.75908,0.09420637,52.765934,inf,54.29675507545471,524.4711821079254
True,True,2,1,24,12,True,False,4,138.67787,0.093979605,52.63892,inf,55.830344915390015,630.7371761798859
True,True,2,1,24,12,False,True,4,136.9586,0.0932317,52.22001,inf,53.37716484069824,598.8437769412994
True,True,2,1,24,12,False,False,4,132.99937,0.0921131,51.593475,inf,54.369544982910156,569.3504259586334
True,True,2,1,24,24,True,True,4,131.61263,0.09179381,51.414635,inf,61.10493087768555,1093.802206993103
True,True,2,1,24,24,True,False,4,133.47029,0.09307524,52.132378,inf,61.7185001373291,1065.6975400447845
True,True,2,1,24,24,False,True,4,131.59253,0.09161796,51.316135,inf,44.515605211257935,402.84014797210693
True,True,2,1,24,24,False,False,4,132.98915,0.09083995,50.880367,inf,44.54127216339111,396.98668122291565
False,True,2,1,24,1,True,True,4,147.13062,0.10666502,59.74415,inf,40.120046854019165,246.19564270973206
False,True,2,1,24,1,True,False,4,138.1439,0.10389661,58.19353,inf,39.559781074523926,241.6097559928894
False,True,2,1,24,1,False,True,4,145.0536,0.105512574,59.09865,inf,40.101006746292114,251.97441172599792
False,True,2,1,24,1,False,False,4,139.6219,0.10379444,58.13631,inf,38.486554861068726,254.0208568572998
False,True,2,1,24,2,True,True,4,141.87007,0.10491128,58.761864,inf,39.88292193412781,260.98909616470337
False,True,2,1,24,2,True,False,4,139.7324,0.10491242,58.7625,inf,39.23930501937866,250.9778869152069
False,True,2,1,24,2,False,True,4,145.31807,0.105373666,59.02085,inf,39.465327978134155,257.1005799770355
False,True,2,1,24,2,False,False,4,140.22064,0.10441156,58.48196,inf,39.543959856033325,252.45762372016907
False,True,2,1,24,6,True,True,4,146.7495,0.106360674,59.57368,inf,41.848000049591064,285.23332715034485
False,True,2,1,24,6,True,False,4,145.75737,0.10589997,59.315636,inf,40.29371500015259,273.3778738975525
False,True,2,1,24,6,False,True,4,143.06746,0.10364995,58.055378,inf,41.76701879501343,302.32084679603577
False,True,2,1,24,6,False,False,4,142.8236,0.10421658,58.372753,inf,40.550305128097534,284.570867061615
False,True,2,1,24,12,True,True,4,151.24155,0.106168486,59.466034,inf,42.97680377960205,294.3186707496643
False,True,2,1,24,12,True,False,4,150.54553,0.10575692,59.23551,inf,41.47110462188721,289.6431748867035
False,True,2,1,24,12,False,True,4,139.12082,0.10113868,56.64879,inf,42.7961630821228,321.9636240005493
False,True,2,1,24,12,False,False,4,143.40564,0.10208625,57.179535,inf,43.13585615158081,304.15333700180054
False,True,2,1,24,24,True,True,4,147.98271,0.103530794,57.988636,inf,54.697861194610596,518.1939787864685
False,True,2,1,24,24,True,False,4,149.81343,0.104128875,58.323627,inf,46.18665599822998,470.7487030029297
False,True,2,1,24,24,False,True,4,141.76219,0.10061357,56.35467,inf,46.468220949172974,444.81844782829285
False,True,2,1,24,24,False,False,4,148.9102,0.10280042,57.579548,inf,44.471405029296875,461.1669638156891
