include_covariates,include_itself,include_motif_information,k_motifs,motif_length,no_points_after_motif,do_normalization,include_similarity,EXCL_ZONE_DENOM,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,15,2,9,9,False,True,4,5.1377354,0.047354676,2.7611175,0.06748179,76.97533106803894,236.49809503555298
True,True,15,3,9,9,False,True,4,5.129745,0.04731104,2.7585735,0.067397974,96.95741701126099,296.2348198890686
False,True,15,2,9,9,False,True,4,5.531216,0.050405532,2.9390044,0.07247764,79.05874824523926,233.2929310798645
False,True,15,3,9,9,False,True,4,5.524308,0.05035757,2.9362078,0.072344296,101.37537717819214,277.88231015205383
