include_covariates,include_itself,include_motif_information,k_motifs,motif_length,no_points_after_motif,do_normalization,include_similarity,EXCL_ZONE_DENOM,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,21,2,24,24,False,True,4,0.012883306,0.08614011,0.004651548,0.09408839,50.62079215049744,1110.7865753173828
True,True,21,3,24,24,False,True,4,0.012099823,0.08076391,0.0043612346,0.08406901,67.63574314117432,1417.940570116043
