include_covariates,include_itself,include_motif_information,k_motifs,motif_length,no_points_after_motif,do_normalization,include_similarity,EXCL_ZONE_DENOM,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,7,1,24,24,False,True,4,0.009644747,0.06859237,0.0037039737,0.075995244,13.99046015739441,713.5161719322205
True,True,7,1,24,24,False,False,4,0.014295763,0.09291864,0.005017587,0.10074077,14.030255794525146,697.9371447563171
True,True,9,1,24,24,False,True,4,0.009420941,0.06633418,0.0035820317,0.072106995,14.748607873916626,732.5382068157196
True,True,9,1,24,24,False,False,4,0.014103586,0.0921544,0.004976318,0.09907682,14.467092275619507,695.7021040916443
True,True,11,1,24,24,False,True,4,0.010331983,0.0691476,0.0037339558,0.0744497,15.119974136352539,890.0652430057526
True,True,11,1,24,24,False,False,4,0.014203111,0.086361855,0.004663522,0.08941747,15.261190176010132,862.6810591220856
