include_covariates,include_itself,include_motif_information,k_motifs,motif_length,no_points_after_motif,do_normalization,include_similarity,EXCL_ZONE_DENOM,RMSE,WAPE,MAE,MAPE,Time_Processing,Time_Overall
True,True,7,1,9,9,False,True,4,5.139273,0.0473731,2.762192,0.06755842,42.29269599914551,185.38004398345947
True,True,7,1,9,9,False,False,4,5.1489763,0.047485318,2.768735,0.067767724,42.287511110305786,198.61583280563354
True,True,9,1,9,9,False,True,4,5.1364274,0.047339745,2.760247,0.067517795,43.38502907752991,194.72952818870544
True,True,9,1,9,9,False,False,4,5.143947,0.047418844,2.7648592,0.06759995,44.033812284469604,188.97391414642334
True,True,11,1,9,9,False,True,4,5.1328373,0.047333647,2.7598915,0.06753058,43.79274106025696,214.0665271282196
True,True,11,1,9,9,False,False,4,5.138817,0.047403373,2.763957,0.06762112,42.70127201080322,210.42793011665344
